Term	ID	es	nes	pval	sidak	fdr	geneset_size	leading_edge	propagated_edge
Hedgehog 'off' state	R-HSA-5610787	0.4746724775495575	0.45969015102840466	0.6457386399227234	1.0	0.9033658297397854	13	WDR19,TUBB3,GLI2	ADCY10,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADRM1,BTRC,CSNK1A1,CUL1,DYNC2H1,FUZ,GLI1,GLI2,GLI3,GNAS,GPR161,GSK3B,IFT122,IFT140,IFT172,IFT52,IFT57,IFT88,INTU,ITCH,KIF3A,KIF7,MKS1,NUMB,OFD1,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTCH1,RBX1,RPGRIP1L,RPS27A,SEM1,SKP1,SMO,SUFU,TTC21B,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA4A,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TULP3,UBA52,UBB,UBC,WDR19,WDR35
Defective homologous recombination repair (HRR) due to BRCA1 loss of function	R-HSA-9701192	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EXO1,KAT5,MRE11,NBN,PALB2,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RBBP8,RMI1,RMI2,SEM1,TOP3A,WRN,XRCC2
Defective homologous recombination repair (HRR) due to BRCA2 loss of function	R-HSA-9701190	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		ATR,ATRIP,BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EXO1,HUS1,KAT5,MRE11,NBN,PALB2,RAD1,RAD17,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RAD9A,RAD9B,RBBP8,RFC2,RFC3,RFC4,RFC5,RHNO1,RMI1,RMI2,RPA1,RPA2,RPA3,SEM1,TOP3A,TOPBP1,WRN,XRCC2
Defective homologous recombination repair (HRR) due to PALB2 loss of function	R-HSA-9701193	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EXO1,KAT5,MRE11,NBN,PALB2,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RBBP8,RMI1,RMI2,SEM1,TOP3A,WRN,XRCC2
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	R-HSA-9704646	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EXO1,KAT5,MRE11,NBN,PALB2,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RBBP8,RMI1,RMI2,SEM1,TOP3A,WRN,XRCC2
Resolution of D-Loop Structures	R-HSA-5693537	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EME1,EME2,EXO1,FIGNL1,FIRRM,GEN1,KAT5,MRE11,MUS81,NBN,PALB2,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RBBP8,RMI1,RMI2,RTEL1,SEM1,SLX1A,SLX4,SPIDR,TOP3A,WRN,XRCC2,XRCC3
Resolution of D-loop Structures through Holliday Junction Intermediates	R-HSA-5693568	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EME1,EME2,EXO1,FIGNL1,FIRRM,GEN1,KAT5,MRE11,MUS81,NBN,PALB2,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RBBP8,RMI1,RMI2,SEM1,SLX1A,SLX4,SPIDR,TOP3A,WRN,XRCC2,XRCC3
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	R-HSA-5693554	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EXO1,KAT5,MRE11,NBN,PALB2,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RBBP8,RMI1,RMI2,RTEL1,SEM1,TOP3A,WRN,XRCC2,XRCC3
Homologous DNA Pairing and Strand Exchange	R-HSA-5693579	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		ATR,ATRIP,BARD1,BLM,BRCA1,BRCA2,BRIP1,CHEK1,DNA2,EXO1,HUS1,KAT5,MRE11,NBN,PALB2,RAD1,RAD17,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RAD9A,RAD9B,RBBP8,RFC2,RFC3,RFC4,RFC5,RHNO1,RMI1,RMI2,RPA1,RPA2,RPA3,SEM1,TOP3A,TOPBP1,WRN,XRCC2,XRCC3
Diseases of DNA Double-Strand Break Repair	R-HSA-9675136	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		ATR,ATRIP,BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EXO1,HUS1,KAT5,MRE11,NBN,PALB2,RAD1,RAD17,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RAD9A,RAD9B,RBBP8,RFC2,RFC3,RFC4,RFC5,RHNO1,RMI1,RMI2,RPA1,RPA2,RPA3,SEM1,TOP3A,TOPBP1,WRN,XRCC2
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	R-HSA-9704331	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EXO1,KAT5,MRE11,NBN,PALB2,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RBBP8,RMI1,RMI2,SEM1,TOP3A,WRN,XRCC2
Impaired BRCA2 binding to PALB2	R-HSA-9709603	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		BARD1,BLM,BRCA1,BRCA2,BRIP1,DNA2,EXO1,KAT5,MRE11,NBN,PALB2,RAD50,RAD51,RAD51AP1,RAD51B,RAD51C,RAD51D,RBBP8,RMI1,RMI2,TOP3A,WRN,XRCC2
Presynaptic phase of homologous DNA pairing and strand exchange	R-HSA-5693616	0.495498424947731	0.44082067597246793	0.65934282389789	1.0	0.9033658297397854	9		ATR,ATRIP,BARD1,BLM,BRCA1,BRCA2,BRIP1,CHEK1,DNA2,EXO1,HUS1,KAT5,MRE11,NBN,RAD1,RAD17,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD9A,RAD9B,RBBP8,RFC2,RFC3,RFC4,RFC5,RHNO1,RMI1,RMI2,RPA1,RPA2,RPA3,SEM1,TOP3A,TOPBP1,WRN,XRCC2
SRP-dependent cotranslational protein targeting to membrane	R-HSA-1799339	0.47471269926876936	0.43914291413727546	0.660557985686187	1.0	0.9033658297397854	6		28S rRNA,5.8S rRNA,5S rRNA,7SL RNA (ENSG00000222619),7SL RNA (ENSG00000222639),DDOST,FAU,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,RPL3L,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPN1,RPN2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,SEC11A,SEC11C,SEC61A1,SEC61A2,SEC61B,SEC61G,SPCS1,SPCS2,SPCS3,SRP14,SRP19,SRP54,SRP68,SRP72,SRP9,SRPRA,SRPRB,SSR1,SSR2,SSR3,SSR4,TRAM1,UBA52
Chromatin modifying enzymes	R-HSA-3247509	0.4538248076611469	0.4330718391784187	0.6649625804687174	1.0	0.9073179628718946	16	NCOA2,CREBBP,SMYD3,SMARCA2,NSD2,BRWD1	ACTL6A,ACTL6B,AEBP2,ARID1A,ARID1B,ARID2,ARID4A,ARID4B,ARID5B,ASH1L,ASH2L,ATF2,ATF7IP,ATXN7,ATXN7L3,BRD1,BRD8,BRMS1,BRPF1,BRPF3,BRWD1,CARM1,CCND1,CDK4,CFL1,CHD3,CHD4,CLOCK,COPRS,CREBBP,DMAP1,DNMT3A,DOT1L,DPY30,DR1,EED,EHMT1,EHMT2,ELP2,ELP3,ELP4,ELP5,ELP6,ENY2,EP300,EP400,EPC1,EZH2,GATAD2A,GATAD2B,GPS2,H2AB1,H2AC1,H2AC11,H2AC12,H2AC14,H2AC18,H2AC20,H2AC21,H2AC25,H2AC4,H2AC6,H2AC7,H2AFX,H2AJ,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC13,H2BC14,H2BC15,H2BC17,H2BC18,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3C15,H4C1,HAT1,HCFC1,HDAC1,HDAC10,HDAC2,HDAC3,HDAC8,HIST1H3G,HMG20B,IKBKAP,ING3,ING4,ING5,JADE1,JADE2,JADE3,JAK2,JMJD6,KANSL1,KANSL2,KANSL3,KAT14,KAT2A,KAT2B,KAT5,KAT6A,KAT6B,KAT7,KAT8,KDM1A,KDM1B,KDM2A,KDM2B,KDM3A,KDM3B,KDM4A,KDM4B,KDM4C,KDM4D,KDM5A,KDM5B,KDM5C,KDM5D,KDM6A,KDM6B,KDM7A,KMT2A,KMT2B,KMT2C,KMT2D,KMT5A,KMT5B,KMT5C,MBD3,MBIP,MCRS1,MEAF6,MECOM,MINA,MORF4L1,MORF4L2,MRGBP,MSL1,MSL2,MSL3,MTA1,MTA2,MTA3,NCOA1,NCOA2,NCOR1,NCOR2,NFKB1,NFKB2,NSD1,NSD2,NSD3,OGT,PADI1,PADI2,PADI3,PADI4,PADI6,PAX3,PBRM1,PHF2,PHF20,PHF21A,PHF8,PRDM16,PRDM9,PRMT1,PRMT3,PRMT5,PRMT6,PRMT7,RBBP4,RBBP5,RBBP7,RCOR1,RELA,REST,RPS2,RUVBL1,RUVBL2,SAP130,SAP18,SAP30,SAP30L,SETD1A,SETD1B,SETD2,SETD3,SETD6,SETD7,SETDB1,SETDB2,SGF29,SMARCA2,SMARCA4,SMARCB1,SMARCC1,SMARCC2,SMARCD1,SMARCD2,SMARCD3,SMARCE1,SMYD2,SMYD3,SUDS3,SUPT20H,SUPT3H,SUPT7L,SUV39H1,SUV39H2,SUZ12,TADA1,TADA2A,TADA2B,TADA3,TAF10,TAF12,TAF5L,TAF6L,TAF9,TBL1X,TBL1XR1,TRRAP,USP22,UTY,WDR5,WDR77,YEATS2,YEATS4,ZZZ3
Signaling by MET	R-HSA-6806834	0.4965356128808466	0.3907794587445378	0.6959602596303491	1.0	0.9474549898149527	7	PTPN11	CBL,COL11A1,COL11A2,COL1A1,COL1A2,COL24A1,COL27A1,COL2A1,COL3A1,COL5A1,COL5A2,COL5A3,CRK,CRKL,DOCK7,EPS15,FN1,GAB1,GGA3,GRB2,HGF,HGFAC,HGS,HPN,HRAS,ITGA2,ITGA3,ITGB1,KRAS,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,LRIG1,MET,MUC20,NRAS,PIK3CA,PIK3R1,PTK2,PTPN1,PTPN11,PTPN2,PTPRJ,RAB4A,RAB4B,RAC1,RANBP10,RANBP9,RAP1A,RAP1B,RAPGEF1,RPS27A,SH3GL1,SH3GL2,SH3GL3,SH3KBP1,SHC1,SOS1,SPINT1,SPINT2,SRC,STAM,STAM2,STAT3,TNS3,TNS4,UBA52,UBB,UBC,USP8
MAPK family signaling cascades	R-HSA-5683057	0.4054437606710077	0.37748361483284304	0.7058142387801709	1.0	0.9586909955313432	36	MAPK4,SOS1,KLB,NF1,FGF8,MAP2K1,KL,PTPN11,DLG2	ABHD17B,ABHD17C,ACTB,ACTG1,ACTN2,ADRM1,AGO1,AGO2,AGO3,AGO4,ANGPT1,APBB1IP,ARAF,AREG,ARL2,ARRB1,ARRB2,ARTN,BCL2L1,BRAF,BRAP,BTC,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CCND3,CDC14A,CDC14B,CDC42,CDC42EP2,CDC42EP3,CDC42EP5,CDK1,CNKSR1,CNKSR2,CSF2 gene,CSF2RA,CSF2RB,CSK,CUL3,DAB2IP,DLG1,DLG2,DLG3,DLG4,DNAJB1,DUSP1,DUSP10,DUSP16,DUSP2,DUSP4,DUSP5,DUSP6,DUSP7,DUSP8,DUSP9,EGF,EGFR,EPGN,ERBB2,ERBB3,ERBB4,EREG,ETV4,FGA,FGB,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FGG,FLT3,FLT3LG,FN1,FNTA,FNTB,FOXO1,FOXO3,FRS2,FRS3,FYN,GDNF,GFRA1,GFRA2,GFRA3,GFRA4,GOLGA7,GRB2,GRIN1,GRIN2B,GRIN2D,HBEGF,HGF,HRAS,HSBP1,ICMT,IGF2BP1,IL17RD,IL2,IL2RA,IL2RB,IL2RG,IL3,IL3RA,IL5,IL5RA,IL6,IL6R,IL6ST,IQGAP1,IRS1,IRS2,ITGA2B,ITGB3,JAK1,JAK2,JAK3,JUN,KALRN,KBTBD7,KIT,KITLG,KL,KLB,KRAS,KSR1,KSR2,LAMTOR2,LAMTOR3,LAT,LRRC7,LYPLA1,MAP2K1,MAP2K2,MAP3K11,MAPK1,MAPK12,MAPK3,MAPK4,MAPK6 gene,MAPKAPK5,MARK3,MET,MIR34B,MIR34C,MMP10,MMP2,MOV10,MRAS,MYC,NCAM1,NCOA3,NEFL,NF1,NRAS,NRG1,NRG2,NRG3,NRG4,NRTN,PAK1,PAK2,PAK3,PAQR3,PDE6D,PDGFA,PDGFB,PDGFRA,PDGFRB,PEA15,PEBP1,PHB,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PPP5C,PRKACA,PRKACB,PRKACG,PRKCQ,PRKG2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PSPN,PTK2,PTPN11,PTPN3,PTPN7,PTPRA,RAC1,RAF1,RAG1,RAG2,RALGDS,RANBP9,RAP1A,RAP1B,RAPGEF2,RASA1,RASA2,RASA3,RASA4,RASAL1,RASAL2,RASAL3,RASGEF1A,RASGRF1,RASGRF2,RASGRP1,RASGRP3,RASGRP4,RBX1,RCE1,RET,RGL1,RGL2,RGL3,RPS27A,SEM1,SEPTIN7,SHC1,SHC2,SHC3,SHOC2,SOS1,SPRED1,SPRED2,SPRED3,SPTA1,SPTAN1,SPTB,SPTBN1,SPTBN2,SPTBN4,SPTBN5,SRC,SYNGAP1,TEK,TGFA,TLN1,TNRC6A,TNRC6B,TNRC6C,TYK2,UBA52,UBB,UBC,USP17L2,VCL,VWF,WDR83,XPO1,YWHAB,ZDHHC9
Nuclear Receptor transcription pathway	R-HSA-383280	0.45130509289250487	0.36146125679768026	0.7177546624989353	1.0	0.9727037168254801	14		ESR1,ESR2,ESRRA,ESRRB,ESRRG,HNF4A,HNF4G,MED1,NCOR1,NCOR2,NR0B1,NR0B2,NR1D1,NR1D2,NR1H2,NR1H3,NR1H4,NR1I2,NR1I3,NR2C1,NR2C2,NR2C2AP,NR2E1,NR2E3,NR2F1,NR2F6,NR3C1,NR3C2,NR4A1,NR4A2,NR4A3,NR5A1,NR5A2,NR6A1,NRBF2,NRBP1,PGR,PPARA,PPARD,PPARG,RARA,RARB,RARG,RORA,RORB,RORC,RXRA,RXRB,RXRG,THRA,THRB,VDR
Cell Cycle	R-HSA-1640170	0.36416169205262117	0.3415466648511555	0.7326920810039279	1.0	0.989338844844096	106	TEX15,SYCP2,MSH4,SYCE1,DMC1,REC8,MSH5,FKBP6,STAG3	ABL1,ACD,ACTR1A,ADRM1,AHCTF1,AJUBA,AKAP9,AKT1,AKT2,AKT3,ALMS1,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,ANKLE2,ANKRD28,APITD1,ARPP19,ATM,ATR,ATRIP,ATRX,AURKA,AURKB,B9D2,BABAM1,BANF1,BARD1,BIRC5,BLM,BLZF1,BORA,BRCA1,BRCA2,BRCC3,BRE,BRIP1,BTRC,BUB1,BUB1B,BUB3,CABLES1,CC2D1B,CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNH,CCP110,CDC14A,CDC16,CDC20,CDC23,CDC25A,CDC25B,CDC25C,CDC26,CDC27,CDC45,CDC6,CDC7,CDCA5,CDCA8,CDK1,CDK11A,CDK11B,CDK2,CDK4,CDK5RAP2,CDK6,CDK7,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CDT1,CENPA,CENPC,CENPE,CENPF,CENPH,CENPI,CENPJ,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPT,CENPU,CENPW,CEP131,CEP135,CEP152,CEP164,CEP192,CEP250,CEP290,CEP41,CEP43,CEP57,CEP63,CEP70,CEP72,CEP76,CEP78,CETN2,CHEK1,CHEK2,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP6,CHMP7,CHTF18,CHTF8,CKAP5,CKS1B,CLASP1,CLASP2,CLIP1,CLSPN,CNEP1R1,CNTRL,CSNK1D,CSNK1E,CSNK2A1,CSNK2A2,CSNK2B,CTC1,CTDNEP1,CUL1,DAXX,DBF4,DCTN1,DCTN2,DCTN3,DHFR,DIDO1,DKC1,DMC1,DNA2,DSCC1,DSN1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNC1LI2,DYNLL1,DYNLL2,DYRK1A,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,EMD,EML4,ENSA,EP300,ERCC6L,ESCO1,ESCO2,ESPL1,EXO1,FAM175A,FBXL18,FBXL7,FBXO5,FBXW11,FEN1,FIGNL1,FIRRM,FKBP6,FKBPL,FOXM1,FZR1,GAR1,GINS1,GINS2,GINS3,GINS4,GMNN,GOLGA2,GORASP1,GORASP2,GSK3B,GTSE1,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AFX,H2AJ,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3-4,H3C15,H4C1,HAUS1,HAUS2,HAUS3,HAUS4,HAUS5,HAUS6,HAUS7,HAUS8,HDAC1,HDAC8,HERC2,HIST1H3G,HJURP,HMMR,HSP90AA1,HSP90AB1,HSPA2,HUS1,INCENP,IST1,ITGB3BP,JAK2,KAT5,KIF18A,KIF20A,KIF23,KIF2A,KIF2B,KIF2C,KMT5A,KNL1,KNTC1,KPNB1,LBR,LCMT1,LEMD2,LEMD3,LIG1,LIN37,LIN52,LIN54,LIN9,LMNA,LMNB1,LPIN1,LPIN2,LPIN3,LYN,MAD1L1,MAD2L1,MAPK1,MAPK3,MAPRE1,MASTL,MAU2,MAX,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MCPH1,MDC1,MDM2,MDM4,MIS12,MIS18A,MIS18BP1,MLH1,MLH3,MNAT1,MND1,MRE11,MSH4,MSH5,MYBL2,MYC,MZT1,MZT2A,MZT2B,NBN,NCAPD2,NCAPD3,NCAPG,NCAPG2,NCAPH,NCAPH2,NDC1,NDC80,NDE1,NDEL1,NEDD1,NEK2,NEK6,NEK7,NEK9,NHP2,NINL,NIPBL,NME7,NOP10,NPM1,NSD2,NSL1,NUDC,NUF2,NUMA1,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,OBI1,ODF2,OFD1,OIP5,OPTN,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,PAFAH1B1,PCBP4,PCM1,PCNA,PCNT,PDS5A,PDS5B,PHF20,PHF8,PHLDA1,PIAS4,PIF1,PKMYT1,PLK1,PLK4,PMF1,POLA1,POLA2,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,POM121,POM121C,POT1,PPME1,PPP1CB,PPP1CC,PPP1R12A,PPP1R12B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R3B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PPP6C,PPP6R3,PRDM9,PRIM1,PRIM2,PRKACA,PRKAR2B,PRKCA,PRKCB,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC3IP,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTK6,PTTG1,RAB1A,RAB1B,RAB2A,RAB8A,RAD1,RAD17,RAD21,RAD50,RAD51,RAD51C,RAD9A,RAD9B,RAE1,RAN,RANBP2,RANGAP1,RB1,RBBP4,RBBP7,RBBP8,RBL1,RBL2,RBX1,RCC1,RCC2,REC8,RFC1,RFC2,RFC3,RFC4,RFC5,RFWD2,RHNO1,RMI1,RMI2,RNF168,RNF8,RPA1,RPA2,RPA3,RPA4,RPS27,RPS27A,RRM2,RSF1,RTEL1,RUVBL1,RUVBL2,SDCCAG8,SEC13,SEH1L,SEM1,SET,SFI1,SFN,SGO1,SGO2,SHQ1,SIRT2,SKA1,SKA2,SKP1,SKP2,SMARCA5,SMC1A,SMC1B,SMC2,SMC3,SMC4,SPAST,SPC24,SPC25,SPDL1,SPO11,SRC,SSNA1,STAG1,STAG2,STAG3,STN1,STRA13,SUMO1,SUN1,SUN2,SYCE1,SYCE2,SYCE3,SYCP1,SYCP2,SYCP3,SYNE1,SYNE2,TAOK1,TEN1,TERF1,TERF2,TERF2IP,TERT,TEX12,TEX15,TFDP1,TFDP2,TICRR,TINF2,TK1,TMPO,TNPO1,TOP2A,TOP3A,TOPBP1,TP53,TP53BP1,TPR,TPX2,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,TUBG1,TUBG2,TUBGCP2,TUBGCP3,TUBGCP4,TUBGCP5,TUBGCP6,TYMS,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2I,UBE2N,UBE2S,UBE2V2,UIMC1,USO1,VPS4A,VRK1,VRK2,WAPL,WEE1,WRAP53,WRN,XPO1,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,ZNF385A,ZW10,ZWILCH,ZWINT
Platelet homeostasis	R-HSA-418346	0.46865996046959324	0.33959849579178786	0.7341589110687765	1.0	0.989338844844096	10	PTPN11	ATP2A1,ATP2A2,ATP2A3,ATP2B1,ATP2B2,ATP2B3,ATP2B4,CALM1,FGR,GNAS,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GUCY1A2,GUCY1A3,GUCY1B2,GUCY1B3,IRAG1,ITPR1,ITPR2,ITPR3,KCNMA1,KCNMB1,KCNMB2,KCNMB3,KCNMB4,LRP8,MAPK14,NOS1,NOS2,NOS3,ORAI1,ORAI2,P2RX1,P2RX2,P2RX3,P2RX4,P2RX5,P2RX6,P2RX7,PAFAH2,PDE10A,PDE11A,PDE1A,PDE1B,PDE2A,PDE5A,PDE9A,PECAM1,PLA2G4A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRKG1,PRKG2,PTGIR,PTPN11,PTPN6,SLC8A1,SLC8A2,SLC8A3,SRI,STIM1,TRPC3,TRPC6,TRPC7
Ca2+ pathway	R-HSA-4086398	0.4233258927169984	0.33850240155271033	0.7349846176220747	1.0	0.989338844844096	5		AGO2,AGO3,AGO4,AXIN2,CALM1,CAMK2A,CTNNB1,FZD2,FZD3,FZD4,FZD5,FZD6,GNAO1,GNAT2,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,ITPR1,ITPR2,ITPR3,KRAS,LEF1,MAP3K7,MIR92b,MOV10,MYC,NFATC1,NLK,PDE6A,PDE6B,PDE6G,PLCB1,PLCB2,PLCB3,PPP3CA,PPP3CB,PPP3R1,PRKCA,PRKG1,PRKG2,TCF7,TCF7L1,TCF7L2,TNRC6A,TNRC6B,TNRC6C,WNT11,WNT5A
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	R-HSA-3371497	0.4669002532197656	0.3309363008521503	0.7406926013168393	1.0	0.9947866999748581	10	AR	ACTR1A,AR,CAPZA1,CAPZA2,CAPZA3,CAPZB,DCTN1,DCTN2,DCTN3,DCTN4,DCTN5,DCTN6,DNAJA1,DNAJA2,DNAJA4,DNAJB1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNC1LI2,DYNLL1,DYNLL2,FKBP4,FKBP5,HSP90AA1,HSP90AB1,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA8,NR3C1,NR3C2,PGR,PTGES3,STIP1,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B
